#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
<b>Apart from</b> the noise, the hotel was excellent.	apart from (exception-additive)	phrasal	clause + apart from + exception-N					Marking an exception or additional comment; similar to 'except for'	'apart from' is flexible: can mean exception OR addition	the noise	when strictly excluding (prefer 'except for' in strict exclusion)	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
<b>Except for</b> the final chapter, the book was engaging.	except for (exception-strict)	phrasal	clause + except for + exclusion-N					Marking strict exclusion from a set; the exception is removed from the group	'except for' is more exclusive than 'apart from'	the final chapter	when meaning inclusion with an additional comment	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
<b>Aside from</b> my family, I had few close friends.	aside from (exception-additive)	phrasal	clause + aside from + exception-N					Similar to 'apart from': marking exception or additional perspective	'aside from' often signals a shift in perspective or tone	my family	when the exclusion is strict and total	module:08 sense:phrasal type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:partial
The petition was filed <b>on behalf of</b> the union.	on behalf of (representation)	phrasal	be V-ed + on behalf of + represented-N					Acting or speaking for someone else; representation or delegation	'on behalf of' is formal; marks explicit delegation	the union	when the action is done in the person's own interest	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial
The increase was blamed <b>on account of</b> inflation.	on account of (causal-blame)	phrasal	be V-ed + on account of + cause-N					Explaining a negative consequence or blame through a noun phrase	'on account of' marks blame/negative effect; more formal than 'because of'	inflation	in neutral, non-blaming contexts	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:partial
<b>In light of</b> new evidence, we revised our conclusions.	in light of (evaluative-causal)	phrasal	clause + in light of + new-consideration-N					Considering something new that changes perspective or judgment	'in light of' suggests reconsideration; 'because of' is mechanical cause	new evidence	when no reconsideration or evaluation is implied	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
<b>In view of</b> the circumstances, we postponed the event.	in view of (evaluative-consideration)	phrasal	clause + in view of + consideration-N					Similar to 'in light of': considering a fact that justifies an action	'in view of' is slightly more formal; emphasizes that the cause was noted	the circumstances	when the cause is unexpected or surprising	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
The mechanism operates <b>by means of</b> hydraulic pressure.	by means of (instrumental)	phrasal	V + by means of + instrument-N					Indicating the instrument or mechanism by which something is achieved	'by means of' is formal and technical; 'by' is more concise	hydraulic pressure	when the instrument is simple or well-known	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
He gained entry <b>by virtue of</b> his diplomatic status.	by virtue of (grounds)	phrasal	V + by virtue of + grounds-N					Indicating grounds, rights, or inherent qualities that justify an action	'by virtue of' suggests inherent authority; 'because of' is simpler	his diplomatic status	when the grounds are uncertain or contested	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
She came to the party <b>by way of</b> the back entrance.	by way of (route-manner)	phrasal	V + by way of + path-N					Indicating the route or manner of traveling; also: as a method or approach	'by way of' is flexible: route OR manner of doing	the back entrance	when 'by' alone is sufficient and unambiguous	module:08 sense:phrasal type:recognition frequency:low register:neutral cefr:b2 image-schema:none generalisable:partial
The statue stands <b>in front of</b> the cathedral.	in front of (spatial-relative)	phrasal	V + in front of + landmark-N				between	Spatial relationship: one object ahead of another from an observer's viewpoint	'in front of' requires viewpoint; 'before' can be temporal or spatial	the cathedral	when referring to temporal ordering ('before the event')	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:a1 image-schema:between generalisable:partial
<b>In case of</b> emergency, press the red button.	in case of (conditional-precaution)	phrasal	V-imperative + in case of + contingency-N					Marking a conditional precaution for a potential event	'in case of' is prescriptive for emergencies; 'if' is used for open conditions	emergency	when the event is not foreseen as likely	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
The problem was explained <b>in terms of</b> network latency.	in terms of (framing)	phrasal	be V-ed + in terms of + frame-N					Marking the conceptual framework or domain in which something is understood	'in terms of' frames explanation; 'in regard to' marks relevance	network latency	when identifying what something refers to rather than how to understand it	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
<b>With regard to</b> your complaint, we have investigated.	with regard to (topic-marking)	phrasal	clause + with regard to + topic-N					Formal marking of the topic or domain under discussion	'with regard to' is formal; 'about' is conversational	your complaint	when the relationship is cause or explanation	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
<b>In respect of</b> safety regulations, we are compliant.	in respect of (formal-domain)	phrasal	clause + in respect of + domain-N					Very formal topic marker, common in legal/academic prose	'in respect of' is highly formal; 'regarding' is less formal	safety regulations	in casual conversation; use 'about' or 'regarding'	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:c1 image-schema:none generalisable:partial
The troops were positioned <b>ahead of</b> the main forces.	ahead of (spatial-temporal)	phrasal	be V-ed + ahead of + reference-N					Spatial or temporal: one event/position in advance of another	'ahead of' is flexible; can be spatial or temporal	the main forces	when referring only to spatial position	module:08 sense:phrasal type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:partial
Notification came <b>in advance of</b> the official announcement.	in advance of (temporal-preparation)	phrasal	V + in advance of + future-event-N					Temporal: something occurs before a future event to prepare	'in advance of' suggests preparation; 'before' is neutral temporal	the official announcement	when no preparation or notice is implied	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial
The manager spoke <b>on behalf of</b> the entire team.	on behalf of (representation-voice)	phrasal	V + on behalf of + represented-agent-N					Speaking or acting in place of a group; delegation of voice	'on behalf of' marks formal representation	the entire team	when the person is expressing their own opinion	module:08 sense:phrasal type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
We were delayed <b>on account of</b> bad weather.	on account of (causal-external)	phrasal	be V-ed + on account of + external-cause-N				container	Attribution to an external cause; slightly more formal than 'because of'	'on account of' is more formal; 'because of' is universal	bad weather	when emphasis on formality is unnecessary	module:08 sense:phrasal type:recognition frequency:mid register:formal cefr:b1 image-schema:container generalisable:partial
<b>By means of</b> careful planning, we achieved success.	by means of (instrumental-method)	phrasal	V + by means of + method-N					Formal: indicating the method or instrument used to achieve something	'by means of' is formal and elaborate; 'by' is concise	careful planning	when simple instrumental relationship; 'by' is preferred	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:partial
The building will be completed <b>by virtue of</b> government funding.	by virtue of (grounds-justification)	phrasal	will be V-ed + by virtue of + grounds-N					Indicating the inherent right or authority that makes something possible	'by virtue of' implies earned right; 'because of' is simple causation	government funding	when the cause is simple and unremarkable	module:08 sense:phrasal type:recognition frequency:low register:formal cefr:b2 image-schema:none generalisable:partial
We can tour the campus <b>by way of</b> the riverside path.	by way of (route-path)	phrasal	can V + by way of + route-N					Spatial: following a particular route	'by way of' specifies route; 'through' is more direct	the riverside path	when indicating direction rather than route taken	module:08 sense:phrasal type:recognition frequency:low register:neutral cefr:b2 image-schema:none generalisable:partial
<b>Regarding</b> your inquiry, we will respond shortly.	regarding (topic-neutral)	phrasal	clause + regarding + topic-N					Neutral topic marker, common in everyday writing	'regarding' is neutral; 'in respect of' is more formal	your inquiry	when extreme formality is required	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
<b>Concerning</b> the budget proposal, questions remain.	concerning (topic-marking)	phrasal	clause + concerning + topic-N					Marking the topic of concern or discussion; less formal than 'regarding'	'concerning' is neutral; 'in respect of' is formal; 'about' is casual	the budget proposal	when marking objects without concern/worry	module:08 sense:phrasal type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
The train arrived <b>on time</b>.	on time (idiomatic-punctuality)	idiomatic	V + on time					Punctuality: arriving/happening at the scheduled moment	'on time' = scheduled moment; 'in time' = before deadline; 'at the right time' = opportune	✗ on time	when the action is opportune but not necessarily scheduled	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
We arrived {{c1::in time}} to catch the bus. (in time = before deadline/before missing opportunity)	in time (idiomatic-opportunity)	idiomatic	V + in time + infinitive					Temporal: reaching a deadline or preventing a negative outcome	'in time' = before deadline; 'on time' = scheduled punctuality; 'at the right time' = opportune	✗ in time	when the result is on a schedule	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The rain came <b>at the right time</b> for the crops.	at the right time (idiomatic-opportune)	idiomatic	V + at the right time					Temporal-evaluative: occurring when it was beneficial or opportune	'at the right time' = opportune/beneficial; 'on time' = scheduled; 'in time' = before deadline	at the right time	when something meets a schedule rather than being opportune	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He broke the vase <b>by accident</b>.	by accident (idiomatic-unintentional)	idiomatic	V + by accident					Manner: unintentional action; not deliberate	'by accident' = unintentional; 'on purpose' = deliberate; 'by mistake' = error in judgment	✗ by accident	when the action was intentional	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
I did it <b>on purpose</b>.	on purpose (idiomatic-intentional)	idiomatic	V + on purpose					Manner: deliberate, intentional action	'on purpose' = deliberate; 'by accident' = unintentional; 'by mistake' = error	✗ on purpose	when the action was unintentional	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She answered incorrectly <b>by mistake</b>.	by mistake (idiomatic-error)	idiomatic	V + by mistake					Manner: error in judgment or understanding; not a careless accident	'by mistake' = cognitive/judgment error; 'by accident' = unplanned collision	✗ by mistake	when the error is purely careless or mechanical	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She came to the party <b>on foot</b>.	on foot (idiomatic-locomotion)	idiomatic	V + on foot					Manner of travel: walking	'on foot' = walking; 'by car/bus/train' = other modes	✗ on foot	Use "by car/bus/train" for motorized transport; by+[vehicle] indicates mode, not manner	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
I traveled <b>by car</b>.	by car (idiomatic-vehicle)	idiomatic	V + by car					Manner of travel: using a car	'by car/bus/train/plane' = vehicle mode; 'in a car' = location inside; 'on foot' = walking	✗ by car	when inside a car as a passenger (use 'in a car')	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
He commutes <b>by bus</b> daily.	by bus (idiomatic-vehicle)	idiomatic	V + by bus					Manner of travel: using public bus	'by bus' = mode; 'on the bus' = location; 'in a bus' = inside large vehicle	✗ by bus	when referring to location on or in the bus	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
We flew <b>by plane</b>.	by plane (idiomatic-vehicle)	idiomatic	V + by plane					Manner of travel: using an airplane	'by plane' = mode of travel; 'on a plane' = location in the aircraft	✗ by plane	when referring to being inside the plane	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
She sat <b>in a car</b> and waited.	in a car (idiomatic-location-small)	idiomatic	V + in a car					Location: inside a small vehicle	'in a car' = inside small vehicle; 'on a bus' = on/in large vehicle; 'by car' = mode	in a car	when referring to the mode of transportation	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
We sat <b>on a bus</b> for hours.	on a bus (idiomatic-location-large)	idiomatic	V + on a bus					Location: on/in a large vehicle	'on a bus' = inside large vehicle; 'in a car' = inside small vehicle; 'by bus' = mode	on a bus	when referring to the mode of transportation	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no mnemonic:yes
The show is <b>on TV</b>.	on TV (idiomatic-media)	idiomatic	be + on TV					Media: broadcast on television	'on TV' = television broadcast; 'on the radio' = radio broadcast; 'in the news' = news report	✗ on TV	when the content is in print or online	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The interview is <b>on the radio</b>.	on the radio (idiomatic-media)	idiomatic	be + on the radio					Media: broadcast on radio	'on the radio' = radio broadcast; 'on TV' = television; 'in the news' = news report	on the radio	when the content is on television	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The story appeared <b>in the news</b>.	in the news (idiomatic-media)	idiomatic	V + in the news					Media: reported in news broadcasts or publications	'in the news' = news report; 'on TV' = television; 'on the radio' = radio	in the news	when the story is on a specific television channel	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The video went viral <b>on the internet</b>.	on the internet (idiomatic-digital)	idiomatic	V + on the internet					Digital media: distributed/available online	'on the internet' = digital/online; 'on TV' = television	on the internet	when distributed through traditional broadcast	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
She's <b>in love</b>.	in love (idiomatic-state)	idiomatic	be + in love					Emotional state: experiencing romantic love	'in love' = romantic state; 'in trouble' = problematic situation	✗ in love	when describing the type or degree of love	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
He's <b>in trouble</b>.	in trouble (idiomatic-state)	idiomatic	be + in trouble					Problematic state: in a difficult or dangerous situation	'in trouble' = difficult situation; 'in pain' = physical suffering	✗ in trouble	when the trouble is minor or temporary	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The child is <b>in danger</b>.	in danger (idiomatic-state)	idiomatic	be + in danger					Risk state: at risk of harm	'in danger' = risk of harm; 'at risk' = vulnerable to harm	✗ in danger	when no immediate threat exists	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
She's <b>in pain</b>.	in pain (idiomatic-state)	idiomatic	be + in pain					Physical/emotional state: experiencing pain	'in pain' = suffering pain; 'in trouble' = difficult situation	✗ in pain	when the pain is minor or psychosomatic	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
We're <b>in a hurry</b>.	in a hurry (idiomatic-state)	idiomatic	be + in a hurry					Temporal state: pressed for time; rushing	'in a hurry' = pressed for time; 'on time' = punctual	in a hurry	Use "have time" or "in no rush" when temporal pressure absent; "in" marks containment state	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The situation is <b>at risk</b>.	at risk (idiomatic-state)	idiomatic	be + at risk					Vulnerability state: exposed to danger or loss	'at risk' = vulnerable; 'in danger' = threatened with harm	✗ at risk	when immediate danger is apparent	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The countries are <b>at war</b>.	at war (idiomatic-state)	idiomatic	be + at war					Conflict state: engaged in military conflict	'at war' = military conflict; 'at peace' = no conflict	✗ at war	Use "conflict exists" or "tensions rising" before formal war declaration; "at war" = legal state	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The nations are <b>at peace</b>.	at peace (idiomatic-state)	idiomatic	be + at peace					Peaceful state: not in conflict	'at peace' = no conflict; 'at war' = military conflict	✗ at peace	Use "ceasefire" when hostilities may resume; "at peace" denotes formal diplomatic settlement	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He performed <b>at his best</b>.	at his best (idiomatic-performance)	idiomatic	V + at + possessive + best					Performance state: performing at highest capability	'at one's best' = peak performance	at his best	Use "below par" or "underperforming"; "at best" expresses peak, not baseline	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The team is <b>under pressure</b>.	under pressure (idiomatic-state)	idiomatic	be + under pressure					State of constraint: subject to stress or urgency	'under pressure' = stressed; 'under control' = managed	✗ under pressure	Use "at ease" in stress-free contexts; UNDER schema marks constraint/burden state	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The situation is <b>under control</b>.	under control (idiomatic-state)	idiomatic	be + under control					Managed state: being managed or regulated	'under control' = managed; 'under pressure' = constrained	✗ under control	Use "out of control" or "chaotic"; UNDER marks managed/regulated state	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The city was <b>under attack</b>.	under attack (idiomatic-state)	idiomatic	be + under attack					Threat state: being attacked or assaulted	'under attack' = being assaulted; 'under siege' = surrounded military	✗ under attack	when attack is threatened but not happening	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The building is <b>under construction</b>.	under construction (idiomatic-state)	idiomatic	be + under construction					Development state: being built or repaired	'under construction' = being built	✗ under construction	Use "completed" or "finished"; "under" marks ongoing process vs. finished result	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
The suspect is <b>under arrest</b>.	under arrest (idiomatic-state)	idiomatic	be + under arrest					Legal state: apprehended by law enforcement	'under arrest' = legally apprehended	✗ under arrest	when suspected but not apprehended	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The store is <b>out of stock</b>.	out of stock (idiomatic-state)	idiomatic	be + out of stock					Inventory state: item is not available	'out of stock' = unavailable; 'out of order' = broken; 'out of work' = unemployed	out of stock	Use "in stock" or "available"; OUT marks depletion/absence from container	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The equipment is <b>out of order</b>.	out of order (idiomatic-state)	idiomatic	be + out of order					Malfunction state: broken or not working	'out of order' = broken; 'out of stock' = unavailable; 'out of work' = unemployed	out of order	Use "working" or "operational"; OUT marks malfunction/broken state	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no mnemonic:yes
He's been <b>out of work</b> for months.	out of work (idiomatic-state)	idiomatic	be + out of work					Employment state: unemployed	'out of work' = unemployed; 'out of stock' = unavailable	out of work	Use "employed" or "in work"; OUT marks jobless/unemployment state	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
She ran {{c1::out of breath}}.	out of breath (idiomatic-state)	idiomatic	be + out of breath					Physical state: exhausted from exertion; unable to breathe normally	'out of breath' = winded; 'out of work' = unemployed	out of breath	Use "catching breath" or "breathing normally"; OUT marks respiratory exhaustion	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
The idea is <b>out of the question</b>.	out of the question (idiomatic-state)	idiomatic	be + out of the question					Possibility state: impossible or unthinkable	'out of the question' = impossible	out of the question	Use "possible" or "under consideration"; OUT OF = removed from feasible set	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He made the decision <b>by hand</b>.	by hand (idiomatic-manner)	idiomatic	V + by hand					Manner: done manually without machinery	'by hand' = manually; 'by machine' = automatic	✗ by hand	Use "by machine" or "mechanically"; BY+HAND marks manual/human agency	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
I learned it <b>by heart</b>.	by heart (idiomatic-manner)	idiomatic	V + by heart					Manner: memorized completely; learned from memory	'by heart' = memorized; 'by rote' = mechanical memorization	✗ by heart	Use "from notes" or "by reading"; BY HEART marks memory-based retrieval, not consultation	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
He found it <b>by chance</b>.	by chance (idiomatic-manner)	idiomatic	V + by chance					Manner: discovered accidentally; not planned	'by chance' = accidental discovery; 'by accident' = unintentional action	✗ by chance	when the discovery was deliberate	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
We met <b>by sight</b>.	by sight (idiomatic-manner)	idiomatic	V + by sight					Manner: know/recognize by appearance only	'by sight' = visual recognition; 'by name' = known by reputation	✗ by sight	Use "know well" or "intimately"; BY SIGHT marks visual recognition only, not familiarity	module:09 sense:idiomatic type:recognition frequency:low register:neutral cefr:b1 image-schema:none generalisable:no
The situation is <b>by far</b> the worst.	by far (idiomatic-degree)	idiomatic	ADV + by far + ADJ					Degree/comparison: by a significant margin	'by far' = greatest margin	✗ by far	Use "slightly" or "marginally"; BY FAR intensifies comparative, requires large margin	module:09 sense:idiomatic type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
I'm at <b>a loss</b> for words.	at a loss (idiomatic-state)	idiomatic	be + at a loss					State: bewildered; unable to respond	'at a loss' = bewildered	at a loss	Use "confident" or "certain"; AT A LOSS marks bewilderment/inability to respond	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b2 image-schema:none generalisable:no mnemonic:yes
The item is {{c1::at a discount}}.	at a discount (idiomatic-price)	idiomatic	be + at a discount					Price state: sold below normal price	'at a discount' = reduced price; 'at full price' = normal price	at a discount	when sold at normal or increased price	module:09 sense:idiomatic type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no mnemonic:yes
My success <b>depends on</b> hard work.	depend on (Spanish-trap)	interference	depend + on + N-cause					Correct English collocation: 'depend ON' (not 'depend OF')	English 'on' ≠ Spanish 'de' — Spanish 'depender de' translates literally and produces the wrong English preposition	depend of (incorrect Spanish-transfer)	when translating literally from Spanish 'depender de' — always 'depend ON' in English	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I often think <b>about</b> my childhood.	think about (Spanish-trap)	interference	think + about + N-topic					'Think ABOUT' is standard English; 'think OF' is also correct but 'think IN' is not	Spanish 'pensar en' leads learners to produce 'think in' (incorrect transfer)	think in (incorrect Spanish-transfer)	Spanish speakers commonly say 'think in' but English requires 'think about' or 'think of'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
She is <b>married to</b> a doctor.	married to (Spanish-trap)	interference	married + to + person					'Married TO' is standard English; never 'married WITH'	Spanish 'casado con' (lit. 'with') causes direct transfer error	married with (incorrect Spanish-transfer)	Spanish 'con' ≠ English 'with' for marital status; always 'married TO'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
He <b>dreams of</b> becoming a pilot.	dream of/about (Spanish-trap)	interference	dream + of + N-goal					'Dream OF' or 'dream ABOUT' are both correct; never 'dream WITH'	Spanish 'soñar con' (lit. 'with') causes learners to produce 'dream with' (error)	dream with (incorrect Spanish-transfer)	Spanish 'con' ≠ English 'with' in dream contexts; use 'dream of' or 'dream about'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
I'll see you <b>at</b> 8 a.m.	at (time-of-day; Spanish-trap)	interference	at + clock-time					Time-of-day uses 'AT' (at 3 p.m., at noon); never 'IN'	Spanish often omits prepositions or uses 'en', leading to 'in 8 a.m.' (error)	in 8 a.m. (incorrect Spanish-transfer)	Spanish speakers must distinguish: 'at' for clock times, 'in' for morning/afternoon/seasons	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:spanish
Please <b>enter</b> the room.	enter (bare; Spanish-trap)	interference	enter + direct-obj					'Enter' takes NO preposition; bare object follows	Spanish 'entrar en' encourages 'enter into' (error); English 'enter' is transitive bare	✗ enter into (incorrect Spanish-transfer)	Spanish speakers add 'into' when translating 'entrar en'; English 'enter' never takes 'into'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:spanish
She <b>depends on</b> her parents.	depend on (French-trap)	interference	depend + on + supporter					'Depend ON' is obligatory; never 'depend FROM'	French learners may transfer 'dépendre de', but English uses 'on' not 'from'	depend from (rare French-transfer)	French 'de' doesn't map to English 'from' in depend-clauses; use 'depend on'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:french
I <b>listened to</b> the podcast.	listen to (French-trap)	interference	listen + to + sound-source					'Listen TO' is obligatory; bare 'listen' is incomplete in English	French speakers trained on bare 'écouter' omit 'to', producing error	listen (bare; incorrect French-transfer)	French 'écouter' is transitive bare; English 'listen' requires 'to'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
I <b>waited for</b> the bus.	wait for (French-trap)	interference	wait + for + event/object					'Wait FOR' is mandatory; bare 'wait' is incomplete	French 'attendre' is transitive bare, leading to omission of 'for'	wait (bare; incorrect French-transfer)	French speakers omit 'for'; English requires 'wait FOR something'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
She <b>looked at</b> the painting.	look at (French-trap)	interference	look + at + visual-target					'Look AT' is mandatory; bare 'look' is incomplete	French 'regarder' is transitive bare, encouraging omission of 'at'	look (bare; incorrect French-transfer)	French learners extend bare-object pattern to English; 'look' requires 'at'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:french
He is <b>interested in</b> art.	interested in (French-trap)	interference	interested + in + topic					'Interested IN' is standard English; never 'interested BY'	French 'intéressé par' (lit. 'by') causes direct transfer	interested by (incorrect French-transfer)	French 'par' ≠ English 'by' in interest-contexts; always 'interested IN'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:french
The photo is <b>in</b> the album. (BrE)	in the photo (French-trap)	interference	in + photograph					British English: 'in the photo'; American English: 'on the photo'	French usage may not map cleanly; BrE 'in' is standard for photographs	on the photo (AmE-variant)	BrE prefers 'in'; AmE 'on' is also correct; context matters for dialect	module:10 sense:interference type:recognition frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no l1:french
I <b>play</b> chess.	play (bare for games; German-trap)	interference	play + direct-obj-game					Games: 'play' + bare object (play chess, play tennis); no preposition	German 'spielen' patterns vary; some learners add unnecessary prepositions	✗ play at chess (incorrect German-transfer)	German learners may add 'at'; English games use bare object	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no l1:german
He works <b>on</b> Monday.	on Monday (German-trap)	interference	on + day-of-week					Days of the week always take 'ON'; never 'AT'	German 'am' (on) causes confusion; some learners use 'at Monday' (error)	at Monday (incorrect German-transfer)	German 'am Montag'; English always requires 'ON Monday', never 'at'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:german
I exercise <b>in</b> the morning.	in the morning (German-trap)	interference	in + time-of-day					Times of day (morning, afternoon, evening, night) take 'IN'; never 'AT'	German 'am Morgen' (lit. 'at') encourages 'at morning' (error)	at morning (incorrect German-transfer)	German speakers confuse prepositions for times of day; 'in' is required	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
I <b>think of</b> her fondly.	think of (German-trap)	interference	think + of + target					'Think OF' and 'think ABOUT' are both correct; 'think ON' is not	German 'denken an' may cause 'think on' error	think on (incorrect German-transfer)	German 'an' ≠ English 'on' in think-clauses; use 'think of' or 'think about'	module:10 sense:interference type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
