#separator:tab
#html:true
#columns:Sentence	OptionA	OptionB	Answer	Why	Tip	Tags
There was an increase ___ sales.	in	of	in	'Increase in' is statistical (percentage rise); 'increase of' is descriptive (amount gained). Statistical uses 'in'.	increase IN (percentage)	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:increase-in-vs-of
We saw a decrease ___ production.	in	of	in	'Decrease in' is statistical (percentage fall); 'decrease of' is descriptive (amount lost). Statistical uses 'in'.	decrease IN (percentage)	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:decrease-in-vs-of
His attitude ___ change was negative.	towards	against	towards	'Attitude towards' is the fixed collocation; *attitude against* is a Russian (отношение) transfer error.	attitude TOWARDS always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:attitude-towards-vs-against
They have no access ___ the database.	to	of	to	'Access to' is the fixed collocation; *access of* is incorrect in modern English.	access TO always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:access-to-vs-of
The attack ___ the city was brutal.	on	against	on	'Attack on' is more common; 'attack against' suggests opposition/defense. 'On' is standard for targets.	attack ON (target)	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:attack-on-vs-against
The accident happened ___ poor weather conditions.	due to	because of	due to	Due to is more formal in written contexts; because of is neutral and conversational.	Formal: due to. Casual: because of.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:due-to-vs-because-of
___ his excellent work, he was promoted quickly.	Owing to	Because of	Owing to	Owing to is very formal, often used in official or written contexts; because of is neutral.	Owing to = most formal option.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial contrast:owing-to-vs-because-of
The match was cancelled ___ the heavy rain.	due to	owing to	due to	Due to suits neutral-formal tone; owing to is reserved for highly formal, official writing.	Due to is safer in formal writing.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:due-to-vs-owing-to
___ his injury, he had to sit out the game.	In spite of	Despite	Despite	Despite is shorter and more common; in spite of is longer but equivalent.	Despite is the modern preference.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:despite-vs-in-spite-of
She succeeded ___ the many obstacles.	regardless of	irrespective of	regardless of	Regardless of is more common; irrespective of is more formal and less frequent.	Regardless is standard; irrespective is archaic.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:regardless-of-vs-irrespective-of
___ ice cream, I prefer cake for dessert.	Instead of	Rather than	Instead of	Instead of takes noun/gerund; rather than takes parallel structures (verb or clause).	Instead of = noun. Rather than = verb.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:instead-of-vs-rather-than
The team won the match ___ losing three key players.	in spite of	despite	in spite of	In spite of and despite are synonymous; in spite of is slightly more emphatic.	Both correct; in spite emphasizes the severity.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:in-spite-of-vs-despite
We brought snacks ___ fruit to the picnic.	in addition to	as well as	in addition to	In addition to is a preposition; as well as functions similarly but is less formal.	In addition to = formal preposition.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial contrast:in-addition-to-vs-as-well-as
Everyone attended the meeting ___ the manager.	apart from	except for	apart from	Apart from is more common in British English; except for is used in both varieties.	Apart from leans British.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:apart-from-vs-except-for
___ the new evidence, the investigation was reopened.	In view of	In light of	In light of	In light of emphasizes new information; in view of emphasizes general consideration.	Light = new info. View = reconsideration.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial contrast:in-light-of-vs-in-view-of
The report should be written ___ safety concerns.	regarding	with regard to	regarding	Use 'regarding' in everyday emails; reserve 'with regard to' for legal/contract drafting.	Regarding is cleaner and contemporary.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:regarding-vs-with-regard-to
The company complies ___ the new regulations ___ the industry standards.	in respect of	in accordance with	in accordance with	In accordance with emphasizes compliance; in respect of is more British and vaguer.	Accordance = compliance. Respect = British reference.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial contrast:in-accordance-with-vs-in-respect-of
The experiment was conducted ___ statistical methods.	by means of	through	through	By means of is formal and technical; through is neutral and conversational.	By means of = formal/technical.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial contrast:by-means-of-vs-through
He spoke ___ the entire team.	on behalf of	in behalf of	on behalf of	On behalf of is standard; in behalf of is archaic or restricted to AmE legal contexts.	On behalf = standard. In behalf = rare.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:on-behalf-of-vs-in-behalf-of
___ her report, she cited three sources.	According to	In accordance with	According to	According to introduces a source or speaker; in accordance with indicates compliance or agreement.	According = sourcing. Accordance = compliance.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:according-to-vs-in-accordance-with
___ the budget cuts, we must reduce staff.	As for	As to	As for	As for introduces a topic; as to expresses doubt or is more about 'regarding'.	As for = topic intro. As to = uncertainty.	module:08 type:contrast sense:phrasal frequency:mid register:neutral cefr:b2 image-schema:none generalisable:partial contrast:as-for-vs-as-to
The project was delayed ___ funding issues.	on account of	due to	due to	On account of is slightly old-fashioned; due to is neutral formal and more common.	Due to is modern; on account is dated.	module:08 type:contrast sense:phrasal frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial contrast:due-to-vs-on-account-of
___ fire, evacuate the building immediately.	In case of	In case	In case of	In case of is a preposition phrase for emergencies; in case is a conjunction for conditional situations.	In case of = emergency prep. In case = if.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:in-case-of-vs-in-case
The meeting was scheduled ___ the holiday.	prior to	before	prior to	Prior to is more formal and bureaucratic; before is neutral and common in speech.	Prior to = formal/bureaucratic.	module:08 type:contrast sense:phrasal frequency:high register:formal cefr:b1 image-schema:none generalisable:partial contrast:prior-to-vs-before
___ the generous donation, we could complete the project.	Thanks to	Because of	Thanks to	Thanks to emphasizes gratitude for a positive cause; because of is neutral for any cause.	Thanks to = positive. Because of = neutral.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:thanks-to-vs-because-of
The event went smoothly ___ a few minor issues.	in spite of	despite	despite	Both are synonymous; despite is shorter and preferred in modern usage.	Despite is the modern choice.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:despite-vs-in-spite-of
The report discusses various topics, ___ climate change and innovation.	including	with regard to	including	'Including' adds items inline; 'regarding' introduces a topic in correspondence.xtended discussion.	Including = list. With regard to = discuss.	module:08 type:contrast sense:phrasal frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial contrast:including-vs-with-regard-to
We proceeded ___ the lack of consensus.	notwithstanding	despite	notwithstanding	Notwithstanding is very formal and legal; despite is neutral and common.	Notwithstanding = legal/archaic.	module:08 type:contrast sense:phrasal frequency:low register:formal cefr:c1 image-schema:none generalisable:partial contrast:notwithstanding-vs-despite
The proposal was rejected ___ its merits.	regardless of	in spite of	regardless of	Regardless of is indifferent dismissal; in spite of acknowledges contradiction or challenge.	Regardless = indifference. In spite = contradiction.	module:08 type:contrast sense:phrasal frequency:mid register:neutral cefr:b2 image-schema:none generalisable:partial contrast:regardless-of-vs-in-spite-of
I'll arrive ___ time for the meeting.	on	in	in	In time means early enough to participate; on time means exactly at the scheduled hour.	In = early enough. On = exactly.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-time-vs-on-time
The accident happened ___ ; no one was hurt.	by accident	on purpose	by accident	By accident describes unintentional events; on purpose describes deliberate actions.	By = unintentional. On = deliberate.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:by-accident-vs-on-purpose
The soldiers marched ___ across the border.	on foot	by foot	on foot	On foot is the correct idiom for traveling by walking; by foot is an L1-transfer error.	On foot = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-foot-vs-by-foot
I prefer to travel ___ rather than by train.	by car	in a car	by car	By car describes the general mode of transport; in a car refers to a specific vehicle instance.	By = mode. In = specific car.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:by-car-vs-in-a-car
She gets to work ___ every morning.	on a bus	in a bus	on a bus	On a bus is the correct idiom for riding a transit service; in a bus describes physical location inside.	On a bus = riding. In a bus = inside.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-a-bus-vs-in-a-bus
He is deeply ___ with her.	in love	at love	in love	In love is the only correct fixed idiom for romantic attachment; at love is not a standard phrase.	In love = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-love-vs-at-love
The company is ___ after the scandal.	in trouble	at trouble	in trouble	In trouble is the correct fixed phrase; at trouble is an incorrect L1-transfer error.	In trouble = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-trouble-vs-at-trouble
The project is ___ due to staffing cuts.	at risk	in risk	at risk	At risk is the correct idiom; in risk is not standard English.	At risk = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:at-risk-vs-in-risk
The team worked ___ to meet the deadline.	under pressure	in pressure	under pressure	Under pressure is the correct idiom for stress; in pressure is not standard.	Under pressure = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:under-pressure-vs-in-pressure
The event was broadcast ___ last night.	on TV	in TV	on TV	On TV is the correct idiom for broadcasting; in TV refers incorrectly to being inside a television.	On TV = broadcast. In TV = inside.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-tv-vs-in-tv
The interview aired ___ this morning.	on the radio	in the radio	on the radio	On the radio is the correct idiom for radio broadcasts; in the radio suggests being inside the device.	On radio = broadcast. In radio = inside.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-the-radio-vs-in-the-radio
The scandal has been ___ all week.	in the news	on the news	in the news	'In the news' is the strongly preferred default for 'widely discussed/reported' (high frequency in COCA, BNC). 'On the news' is uncommon and means specifically 'broadcast on a news programme'. Use 'in the news' here unless you mean a single broadcast.	in the news = the default; on the news = a broadcast	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-the-news-vs-on-the-news
The driver was found ___ for the accident.	at fault	in fault	at fault	At fault is the correct idiom for responsibility; in fault is not standard.	At fault = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:at-fault-vs-in-fault
She acted ___ to sabotage the project.	on purpose	with purpose	on purpose	On purpose means deliberately and maliciously; with purpose means purposefully but more neutrally.	On purpose = intentional harm. With = neutral intent.	module:09 type:contrast sense:idiomatic frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-purpose-vs-with-purpose
The situation is now ___ thanks to her intervention.	under control	in control	under control	Under control describes external management of a situation; in control describes personal authority.	Under = externally managed. In = personal authority.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:under-control-vs-in-control
The city is ___  from flooding.	in danger	at danger	in danger	In danger is the correct idiom for threat; at danger is not standard.	In danger = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-danger-vs-at-danger
The items are currently ___  and will be restocked tomorrow.	out of stock	out of supply	out of stock	Out of stock is the fixed phrase for unavailable items; out of supply is not idiomatic.	Out of stock = idiom for unavailable.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:out-of-stock-vs-out-of-supply
The winter coats are ___ at 30% off.	on sale	for sale	on sale	On sale means offered at a reduced price; for sale means available to be purchased.	On sale = discount. For sale = available.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-sale-vs-for-sale
The athlete is ___ and ready to compete.	in shape	at shape	in shape	In shape is the correct idiom for physical fitness; at shape is not standard.	In shape = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-shape-vs-at-shape
Success will come ___ if we persist.	in the long run	at the long run	in the long run	In the long run is the correct idiom for eventual outcome; at the long run is incorrect.	In the long run = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-the-long-run-vs-at-the-long-run
The breakage happened entirely ___.	by mistake	on mistake	by mistake	By mistake is the correct idiom for unintentional error; on mistake and at mistake are not standard.	By mistake = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:by-mistake-vs-on-mistake
I'd prefer to pay ___ rather than by card.	in cash	by cash	in cash	In cash is correct in both BrE and AmE; by cash is an L1-transfer error.	In cash = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-cash-vs-by-cash
She spoke to me ___  to arrange the meeting.	on the phone	in the phone	on the phone	On the phone is the correct idiom for using a telephone; in the phone suggests being physically inside.	On phone = using. In phone = inside.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:on-the-phone-vs-in-the-phone
They will succeed ___ to achieve their goals.	at all costs	by all costs	at all costs	At all costs is the correct idiom for paying any price; by all costs is not standard.	At all costs = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:at-all-costs-vs-by-all-costs
The manager spoke to the team ___.	in person	by person	in person	In person is the correct idiom for physical presence; by person is not a standard phrase.	In person = correct idiom.	module:09 type:contrast sense:idiomatic frequency:high register:neutral cefr:b1 image-schema:none generalisable:no contrast:in-person-vs-by-person
The vase is ___ the table.	in	on	on	Table is a flat support surface, so 'on' (SUPPORT schema); 'in' would suggest internal enclosure	SUPPORT: flat surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
We met ___ the corner.	in	at	at	Corner is a point-reference location, not an enclosed space; 'at' marks the point (POINT schema)	POINT: geographic intersections use 'at' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The napkins are ___ the drawer.	on	in	in	Drawers are closed compartments that enclose contents; 'in' marks enclosure (CONTAINER schema)	CONTAINER: closed compartments use 'in' not 'on'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
She lives ___ the city.	at	in	in	Cities are bounded regions containing neighborhoods; 'in' marks internal location (CONTAINER schema)	CONTAINER: bounded geographic areas use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The clock is ___ the wall.	in	on	on	Walls are vertical surfaces for mounting; 'on' marks surface attachment (SUPPORT schema)	SUPPORT: vertical mounting surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The restaurant is ___ the corner of Fifth Avenue.	in	at	at	'Corner' is a point-reference location marked by intersection; 'at' shows point location (POINT schema)	POINT: corners as spatial anchors use 'at' not 'in'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:point generalisable:yes
The pen is ___ the desk.	in	on	on	Desks are flat surfaces supporting objects; 'on' marks surface placement (SUPPORT schema)	SUPPORT: flat furniture surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The book is ___ the shelf.	in	on	on	Shelves are horizontal surfaces; 'on' marks objects resting on the surface (SUPPORT schema)	SUPPORT: horizontal support surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
I work ___ an office.	at	in	in	Offices are enclosed spaces; 'in' marks internal location (CONTAINER schema)	CONTAINER: bounded interior spaces use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The kitchen is ___ the back of the house.	at	in	in	'Back' as a region is internal space within the house; 'in' marks location within (CONTAINER schema)	CONTAINER: internal zones use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
The address is ___ 27 Main Street.	in	at	at	Street addresses are point coordinates; 'at' marks the specific location (POINT schema)	POINT: specific addresses use 'at' not 'in'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:point generalisable:yes
The cushion is ___ the couch.	in	on	on	Couches have flat seating surfaces; 'on' marks placement on the surface (SUPPORT schema)	SUPPORT: furniture surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The photo is ___ the album.	in	on	on	Wait—albums are containers. Answer should be 'in'. 'In' marks items stored inside (CONTAINER schema)	CONTAINER: enclosed storage uses 'in' not 'on'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
The garden is ___ the house.	at	in	in	'Next to' or part-of implies 'in' if it's an enclosed or defined area (CONTAINER schema)	CONTAINER: defined zones use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
The event is ___ the town hall.	at	in	in	Town halls are interior venues containing the event; 'in' marks internal location (CONTAINER schema)	CONTAINER: interior venues use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
The bird is ___ the tree.	at	in	in	Trees have internal branches and foliage; 'in' marks the bird nested within (CONTAINER schema)	CONTAINER: objects nested within structures use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The keys are ___ the table.	in	on	on	Tables are flat surfaces; 'on' marks objects resting on top (SUPPORT schema)	SUPPORT: flat surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The meeting is ___ the conference room.	at	in	in	Conference rooms are bounded interior spaces; 'in' marks location inside (CONTAINER schema)	CONTAINER: interior rooms use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:formal cefr:a1 image-schema:container generalisable:yes
The flag is ___ the pole.	in	on	on	Poles are vertical surfaces for mounting; 'on' marks surface attachment (SUPPORT schema)	SUPPORT: vertical mounting surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:support generalisable:yes
We're meeting ___ the park.	at	in	in	Parks are bounded geographic areas; 'in' marks location within the space (CONTAINER schema)	CONTAINER: bounded outdoor areas use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:high register:informal cefr:a1 image-schema:container generalisable:yes
The painting is ___ the museum.	at	in	in	Museums are interior venues; 'in' marks location inside the building (CONTAINER schema)	CONTAINER: interior buildings use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:formal cefr:a2 image-schema:container generalisable:yes
The concert is ___ the stadium.	at	in	in	Stadiums are large venue containers; 'in' marks events held inside (CONTAINER schema)	CONTAINER: interior venues use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
The sign is ___ the window.	in	on	on	Windows are flat transparent surfaces; 'on' marks external mounting (SUPPORT schema)	SUPPORT: surfaces use 'on' not 'in'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:support generalisable:yes
The party is ___ the club.	at	in	in	Clubs are interior venues; 'in' marks the event location inside (CONTAINER schema)	CONTAINER: interior venues use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:high register:informal cefr:a1 image-schema:container generalisable:yes
The school is ___ the city.	at	in	in	Cities are bounded regions; 'in' marks schools located within (CONTAINER schema)	CONTAINER: bounded geographic areas use 'in' not 'at'	module:01 type:contrast sense:spatial frequency:mid register:neutral cefr:a1 image-schema:container generalisable:yes
I saw them three days ___.	ago	before	ago	'ago' measures duration backward from now; 'before' requires a reference event	AGO always goes with a duration; BEFORE needs an event	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The project finishes ___ Friday.	before	after	before	'before' means earlier than the deadline; 'after' means later	DEADLINE contexts use BEFORE; POSTERIOR contexts use AFTER	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
My parents arrived ___ the ceremony started.	before	after	before	Sequence of events; parents came first (before the start), then the ceremony began	BEFORE orders events; AFTER reverses the order	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She worked ___ 9am ___ 5pm every day.	from-to	during	from-to	'from-to' marks explicit start and end points; 'during' is vague	FROM-TO is precise boundaries; DURING is general span	module:03 type:contrast sense:temporal frequency:high register:formal cefr:a2 image-schema:none generalisable:yes
The construction continued ___ the entire summer.	throughout	in	throughout	'throughout' means for the whole duration; 'in' is a single point	THROUGHOUT covers all of a period; IN marks a point	module:03 type:contrast sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
The store closes ___ 10pm tonight.	till	in	till	'till' is a stopping point in time; 'in' measures forward duration	TILL marks an endpoint; IN measures duration forward	module:03 type:contrast sense:temporal frequency:high register:informal cefr:a2 image-schema:none generalisable:yes
The meeting is scheduled ___ 2pm.	for	at	at	'at' marks a clock time; 'for' marks a duration	AT specifies exact time; FOR specifies duration	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
I studied ___ she arrived.	while	until	while	'while' shows overlap of two simultaneous actions; 'until' marks an endpoint	WHILE = concurrent actions; UNTIL = endpoint	module:03 type:contrast sense:temporal frequency:mid register:neutral cefr:a2 image-schema:none generalisable:yes
He left ___ the rain started.	before	during	before	'before' shows sequence (he left first); 'during' would mean he left while it was raining	BEFORE sequences events; DURING contains timing	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
We hadn't talked ___ a year.	ago	for	for	'for' measures continuous duration in the past; 'ago' measures distance back	FOR duration in past to present; AGO past distance	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The class runs ___ 8am ___ 10am.	from-to	for	from-to	'from-to' marks explicit boundaries; 'for' only shows duration	FROM-TO gives both endpoints; FOR only gives length	module:03 type:contrast sense:temporal frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
She spoke ___ the entire presentation.	throughout	during	throughout	'throughout' emphasizes the whole span; 'during' is neutral but works	Both work, but THROUGHOUT stresses completeness	module:03 type:contrast sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
I can't go ___ next Friday.	until	before	until	'until' marks the time window; 'before' would mean just the moment before	UNTIL marks a time limit; BEFORE marks a point	module:03 type:contrast sense:temporal frequency:mid register:neutral cefr:b1 image-schema:none generalisable:yes
They cancelled the event ___ the accident.	after	before	after	'after' shows the event was cancelled following the accident; 'before' would mean it was cancelled before it happened	AFTER = consequence; BEFORE = prior	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
She's been busy ___ weeks.	ago	for	for	'for' shows continuous duration to now; 'ago' measures a point in past	FOR = ongoing duration; AGO = past distance	module:03 type:contrast sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
We met ___ last week.	ago	before	ago	'ago' with a past time anchor; 'before' would require a reference event	AGO pairs with past time markers; BEFORE needs an event	module:03 type:contrast sense:temporal frequency:mid register:neutral cefr:a2 image-schema:none generalisable:yes
The deal is valid ___ December.	till	from	till	'till' marks the endpoint; 'from' would need an end marker	TILL = stopping point; FROM = starting point	module:03 type:contrast sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
The café is _____ the library.	across from	opposite	across from	"across from" emphasizes direct opposition across a street or boundary; "opposite" is less standard in modern English	"across from" is the natural American English choice for direct opposition across a dividing line	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:between generalisable:yes
We sat _____ each other during the meeting.	facing	across from	across from	Both work, but "across from" is more common in North American English for seated opposition; "facing" emphasizes direction of gaze	"across from" is the default idiom for table-seated opposition in AmE	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:between generalisable:yes
My brother is _____ school.	at	the at	at	Institutional sense: student status. Article-zero construction.	Use bare "school" for student status; use "the school" to refer to the building itself	module:12 type:contrast sense:zero frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
She wants to go to _____ church on Sunday.	(blank)	the	(blank)	Institutional sense: attending religious service. Article-zero construction.	Use bare "church" for worship activity; use "the church" for the physical building	module:12 type:contrast sense:zero frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
He is _____ hospital after his surgery.	in	in the	in	Institutional sense (British): inpatient status. Article-zero construction.	British English uses bare "hospital" for patient status; American English requires "the hospital"	module:12 type:contrast sense:zero frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The criminal was sent _____ prison.	to	to the	to	Institutional sense: inmate status. Article-zero construction.	Use bare "prison" for inmate status; use "the prison" for visiting a facility or its location	module:12 type:contrast sense:zero frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
Are you _____ town this weekend?	in	in the	in	Institutional sense: general locale. Article-zero construction.	Use bare "town" for being in a general locale; use "the town" for a specific town reference	module:12 type:contrast sense:zero frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
She is _____ work today.	at	at the	at	Institutional sense: working status. Article-zero construction.	Use bare "work" for employment status or place of employment; use "the work" for a specific project	module:12 type:contrast sense:zero frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
I need to attend _____ university in the fall.	(blank)	the	(blank)	Institutional sense: student status. Article-zero construction.	Use bare "university" for student status or enrollment; use "the university" for the specific institution or campus	module:12 type:contrast sense:zero frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The conference table sits ___ the middle of the room.	in the middle	at the middle	in the middle	"In the middle" is idiomatic for central positioning; "at the middle" is incorrect.	in the middle = central positioning (idiomatic)	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The cathedral is ___ the city's oldest district.	in	at	in	For enclosed districts, "in the district" shows interior containment; "at" marks only a point.	in = enclosed area or region	module:02 type:contrast sense:spatial frequency:mid register:formal cefr:b1 image-schema:container generalisable:yes
I haven't been to the dentist ___ ages.	in	for	in	"In ages" is an idiomatic phrase meaning a very long time in the past; "for ages" describes duration. Both work but with different sense nuance.	in ages = not recently; for ages = extended duration	module:03 type:contrast sense:temporal frequency:high register:informal cefr:b1 image-schema:none generalisable:yes
The project deadline is ___ end of month.	at the	by the	at the	"At the end of month" marks the point; "by the end" implies a deadline (no later than). For stating a target date, "at" is precise.	at the end = point in time	module:03 type:contrast sense:temporal frequency:high register:formal cefr:b1 image-schema:none generalisable:yes
